date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-24,5.0,0.0,0.0,5.0,,,
2020-02-25,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-02-26,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-02-27,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-02-28,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-02-29,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-01,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-02,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-03,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-04,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-05,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-06,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-07,8.0,0.0,0.0,8.0,3.0,0.0,0.0
2020-03-08,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-03-09,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-03-10,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-03-11,11.0,0.0,0.0,11.0,3.0,0.0,0.0
2020-03-12,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-03-13,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-03-14,14.0,0.0,0.0,14.0,3.0,0.0,0.0
2020-03-15,20.0,0.0,0.0,20.0,6.0,0.0,0.0
2020-03-16,25.0,0.0,1.0,24.0,5.0,0.0,1.0
2020-03-17,26.0,0.0,1.0,25.0,1.0,0.0,0.0
2020-03-18,26.0,0.0,1.0,25.0,0.0,0.0,0.0
2020-03-19,26.0,0.0,1.0,25.0,0.0,0.0,0.0
2020-03-20,24.0,0.0,1.0,23.0,-2.0,0.0,0.0
2020-03-21,24.0,0.0,1.0,23.0,0.0,0.0,0.0
2020-03-22,34.0,0.0,1.0,33.0,10.0,0.0,0.0
2020-03-23,40.0,1.0,1.0,38.0,6.0,1.0,0.0
2020-03-24,42.0,1.0,1.0,40.0,2.0,0.0,0.0
2020-03-25,74.0,1.0,2.0,71.0,32.0,0.0,1.0
2020-03-26,80.0,2.0,2.0,76.0,6.0,1.0,0.0
2020-03-27,91.0,2.0,2.0,87.0,11.0,0.0,0.0
2020-03-28,106.0,2.0,2.0,102.0,15.0,0.0,0.0
2020-03-29,114.0,4.0,2.0,108.0,8.0,2.0,0.0
2020-03-30,114.0,4.0,2.0,108.0,0.0,0.0,0.0
2020-03-31,166.0,4.0,5.0,157.0,52.0,0.0,3.0
2020-04-01,192.0,4.0,5.0,183.0,26.0,0.0,0.0
2020-04-02,235.0,4.0,10.0,221.0,43.0,0.0,5.0
2020-04-03,269.0,5.0,10.0,254.0,34.0,1.0,0.0
2020-04-04,270.0,5.0,10.0,255.0,1.0,0.0,0.0
2020-04-05,299.0,7.0,15.0,277.0,29.0,2.0,5.0
2020-04-06,337.0,7.0,18.0,312.0,38.0,0.0,3.0
2020-04-07,367.0,11.0,18.0,338.0,30.0,4.0,0.0
2020-04-08,423.0,14.0,29.0,380.0,56.0,3.0,11.0
2020-04-09,444.0,15.0,32.0,397.0,21.0,1.0,3.0
2020-04-10,521.0,15.0,32.0,474.0,77.0,0.0,0.0
2020-04-11,521.0,15.0,32.0,474.0,0.0,0.0,0.0
2020-04-12,555.0,18.0,32.0,505.0,34.0,3.0,0.0
2020-04-13,607.0,19.0,32.0,556.0,52.0,1.0,0.0
2020-04-14,665.0,22.0,40.0,603.0,58.0,3.0,8.0
2020-04-15,770.0,25.0,43.0,702.0,105.0,3.0,3.0
2020-04-16,794.0,29.0,54.0,711.0,24.0,4.0,11.0
2020-04-17,845.0,30.0,99.0,716.0,51.0,1.0,45.0
2020-04-18,908.0,30.0,112.0,766.0,63.0,0.0,13.0
2020-04-19,933.0,30.0,131.0,772.0,25.0,0.0,19.0
