date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-14,2.0,0.0,0.0,2.0,,,
2020-03-15,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-16,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-17,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-18,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-19,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-03-20,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-21,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-22,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-23,4.0,0.0,0.0,4.0,1.0,0.0,0.0
2020-03-24,7.0,0.0,2.0,5.0,3.0,0.0,2.0
2020-03-25,7.0,0.0,2.0,5.0,0.0,0.0,0.0
2020-03-26,8.0,0.0,2.0,6.0,1.0,0.0,0.0
2020-03-27,8.0,0.0,2.0,6.0,0.0,0.0,0.0
2020-03-28,8.0,0.0,2.0,6.0,0.0,0.0,0.0
2020-03-29,11.0,0.0,2.0,9.0,3.0,0.0,0.0
2020-03-30,11.0,0.0,2.0,9.0,0.0,0.0,0.0
2020-03-31,11.0,0.0,2.0,9.0,0.0,0.0,0.0
2020-04-01,14.0,0.0,2.0,12.0,3.0,0.0,0.0
2020-04-02,14.0,0.0,3.0,11.0,0.0,0.0,1.0
2020-04-03,14.0,0.0,3.0,11.0,0.0,0.0,0.0
2020-04-04,14.0,0.0,3.0,11.0,0.0,0.0,0.0
2020-04-05,16.0,0.0,3.0,13.0,2.0,0.0,0.0
2020-04-06,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-07,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-08,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-09,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-10,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-11,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-12,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-13,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-14,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-15,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-16,16.0,0.0,4.0,12.0,0.0,0.0,1.0
2020-04-17,16.0,0.0,4.0,12.0,0.0,0.0,0.0
2020-04-18,16.0,0.0,6.0,10.0,0.0,0.0,2.0
2020-04-19,16.0,0.0,6.0,10.0,0.0,0.0,0.0
2020-04-20,16.0,0.0,6.0,10.0,0.0,0.0,0.0
2020-04-21,16.0,0.0,6.0,10.0,0.0,0.0,0.0
2020-04-22,16.0,0.0,6.0,10.0,0.0,0.0,0.0
2020-04-23,16.0,0.0,7.0,9.0,0.0,0.0,1.0
2020-04-24,16.0,0.0,7.0,9.0,0.0,0.0,0.0
2020-04-25,16.0,0.0,7.0,9.0,0.0,0.0,0.0
2020-04-26,16.0,0.0,8.0,8.0,0.0,0.0,1.0
2020-04-27,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-04-28,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-04-29,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-04-30,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-01,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-02,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-03,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-04,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-05,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-06,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-07,16.0,0.0,9.0,7.0,0.0,0.0,1.0
2020-05-08,16.0,0.0,9.0,7.0,0.0,0.0,0.0
2020-05-09,16.0,0.0,10.0,6.0,0.0,0.0,1.0
2020-05-10,16.0,0.0,11.0,5.0,0.0,0.0,1.0
2020-05-11,16.0,0.0,11.0,5.0,0.0,0.0,0.0
2020-05-12,16.0,0.0,11.0,5.0,0.0,0.0,0.0
2020-05-13,16.0,0.0,11.0,5.0,0.0,0.0,0.0
2020-05-14,16.0,0.0,12.0,4.0,0.0,0.0,1.0
2020-05-15,16.0,0.0,13.0,3.0,0.0,0.0,1.0
2020-05-16,16.0,0.0,13.0,3.0,0.0,0.0,0.0
2020-05-17,16.0,0.0,13.0,3.0,0.0,0.0,0.0
2020-05-18,16.0,0.0,13.0,3.0,0.0,0.0,0.0
